Raman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
573.40531,0.09545,0.06445,0.2439,0.05388,0.06066,0.07235,0.0808,0.09148,0.08066,0.08867,0.08051,0.10414,0.06947,0.07477,0.08331,0.09545,0.09112,0.09676,0.0808,0.13391,0.30521,0.05855,0.06415,0.12495,0.06989,0.06928,0.17829,0.08878,0.15843,0.25289,0.12495,0.06989,0.47577,0.25313,0.24492,0.26631,0.0808,0.09148,0.08066,0.4614,0.4789,0.49381,0.25313,0.2625,0.2651,0.25681,0.26155,0.26658,0.25128,0.25783,0.26692,0.4614,0.45018,0.76537,0.4614,0.45101,0.44884,0.25486,0.24634,0.29089
579.07617,0.06703,0.07939,0.19729,0.10359,0.11508,0.12183,0.10997,0.12446,0.11765,0.08825,0.08432,0.10787,0.08094,0.11351,0.07438,0.06703,0.06134,0.06441,0.10997,0.1733,0.27431,0.10447,0.1287,0.13407,0.0784,0.07771,0.14035,0.08836,0.08914,0.20701,0.13407,0.0784,0.4326,0.24604,0.24278,0.24706,0.10997,0.12446,0.11765,0.43057,0.43057,0.43553,0.24604,0.25271,0.24546,0.24975,0.25417,0.25912,0.24417,0.24842,0.25499,0.43057,0.41436,0.7583,0.43057,0.43831,0.14307,0.24778,0.25825,0.29589
584.74332,0.07331,0.08135,0.21927,0.07519,0.07769,0.08025,0.1218,0.12839,0.12554,0.11286,0.11483,0.12495,0.07641,0.07508,0.08926,0.07331,0.07019,0.07353,0.1218,0.16936,0.29861,0.07582,0.1011,0.10634,0.07688,0.0762,0.12831,0.113,0.18152,0.24133,0.10634,0.07688,0.42356,0.23062,0.21998,0.22692,0.1218,0.12839,0.12554,0.41822,0.41239,0.42354,0.23062,0.24523,0.25524,0.23441,0.23667,0.24394,0.22871,0.2335,0.24529,0.41822,0.41151,0.73694,0.41822,0.39872,0.39079,0.23239,0.2322,0.26256
590.40677,0.07361,0.06946,0.21195,0.04762,0.05442,0.07277,0.09657,0.09933,0.10821,0.07976,0.07161,0.08746,0.07007,0.07207,0.07766,0.07361,0.07313,0.07029,0.09657,0.11422,0.30521,0.04381,0.054,0.07748,0.0705,0.06988,0.12004,0.07986,0.12561,0.21751,0.07748,0.0705,0.40367,0.24348,0.24023,0.24747,0.09657,0.09933,0.10821,0.39926,0.39051,0.40512,0.24348,0.25041,0.24316,0.24721,0.2516,0.25627,0.24161,0.24566,0.26212,0.39926,0.37836,0,0.39926,0.43627,0.43964,0.24523,0.30455,0.24196
596.06652,0.06403,0.06669,0.20461,0.06516,0.07187,0.07859,0.10642,0.12093,0.11412,0.08019,0.08094,0.09998,0.06433,0.06607,0.07438,0.06403,0.05868,0.05559,0.10642,0.12603,0.3191,0.06571,0.07511,0.12002,0.05864,0.05813,0.139,0.11003,0.11467,0.21226,0.12002,0.05864,0.36038,0.18591,0.17538,0.18124,0.10642,0.12093,0.11412,0.35531,0.35531,0.36526,0.18591,0.18561,0.18603,0.18992,0.18673,0.19851,0.18389,0.18978,0.20211,0.35531,0.34005,0.7192,0.35531,0.34708,0.3613,0.18779,0.18335,0.21323
601.72258,0.05476,0.05363,0.19976,0.02506,0.03199,0.03825,0.06346,0.06792,0.07475,0.06279,0.05975,0.07913,0.05708,0.06186,0.08033,0.05476,0.0522,0.04676,0.07134,0.09492,0.30903,0.02527,0.04831,0.06077,0.05135,0.0509,0.10612,0.06287,0.09319,0.21401,0.06077,0.05135,0.3025,0.18443,0.1739,0.18613,0.06346,0.06792,0.07475,0.30105,0.30105,0.30972,0.18443,0.19375,0.19367,0.18844,0.1922,0.19373,0.1824,0.18759,0.19971,0.30105,0.31492,0.70973,0.30105,0.28979,0.27033,0.18631,0.20051,0.22119
607.37495,0.0371,0.03738,0.18756,0.05305,0.06481,0.06985,0.09894,0.10287,0.11371,0.06109,0.06271,0.07913,0.05406,0.06186,0.0476,0.0371,0.02861,0.02882,0.11076,0.19732,0.32986,0.0535,0.07146,0.08621,0.04831,0.04789,0.08447,0.06117,0.09562,0.19159,0.08621,0.04831,0.31433,0.18764,0.18945,0.19812,0.09894,0.10287,0.11371,0.3028,0.29697,0.31709,0.18764,0.1977,0.20329,0.19164,0.19618,0.20102,0.18563,0.1944,0.20452,0.3028,0.30691,0.7121,0.3028,0.31649,0.28874,0.18952,0.18729,0.23829
613.02364,0.06732,0.06962,0.20949,0.09064,0.09306,0.10353,0.09894,0.09855,0.10466,0.0717,0.0678,0.07497,0.0743,0.08018,0.08628,0.06732,0.06429,0.06765,0.10288,0.16581,0.28819,0.09141,0.10394,0.12305,0.06867,0.06807,0.11227,0.07179,0.11791,0.22837,0.12305,0.06867,0.30586,0.17816,0.18492,0.17064,0.09894,0.09855,0.10466,0.29949,0.29366,0.31954,0.17816,0.17812,0.17854,0.18221,0.18664,0.19616,0.17612,0.1824,0.19482,0.29949,0.30156,0.72165,0.29949,0.27997,0.27721,0.18005,0.21086,0.22463
618.66865,0.08348,0.079,0.22388,0.07059,0.07312,0.08067,0.08869,0.11504,0.10824,0.08697,0.08941,0.10829,0.05527,0.05706,0.04761,0.08348,0.08228,0.08206,0.08869,0.11422,0.33646,0.07961,0.09257,0.10216,0.04953,0.0491,0.10425,0.08709,0.10008,0.20595,0.10216,0.04953,0.23086,0.15416,0.14863,0.15914,0.08869,0.11504,0.10824,0.22832,0.21956,0.23907,0.15416,0.16135,0.16399,0.15832,0.16201,0.16598,0.15206,0.1605,0.17031,0.22832,0.22422,0.67426,0.22832,0.20654,0.19516,0.15611,0.17214,0.19958
624.30998,0.04967,0.05477,0.20488,0.0543,0.0698,0.07235,0.08435,0.08717,0.1157,0.08613,0.07542,0.07913,0.08124,0.10991,0.11009,0.04967,0.04659,0.04088,0.08435,0.12603,0.30903,0.05476,0.06862,0.11166,0.08174,0.08102,0.14328,0.08624,0.11548,0.19124,0.11166,0.08174,0.24789,0.12917,0.12369,0.13467,0.08435,0.08717,0.1157,0.26245,0.25078,0.22972,0.12917,0.13421,0.1344,0.13345,0.13438,0.14335,0.12701,0.13374,0.14676,0.24786,0.23748,0.68362,0.24786,0.23074,0.20828,0.13117,0.12553,0.1408
